"Name","Species","Colony","Nesting","sum_move_sec","sum_pause_sec","mean_move_sec","mean_pause_sec","sum_steps_move","sum_steps_pause","sum_steps_move_norm","sum_steps_pause_norm","mean_speed_move","mean_speed_move_norm","Traveled.dis","Traveled.dis.bl","mean_speed","mean_speed_norm"
"of10_4","Odo_formosanus","of10","CP",3502,90.4,19.8977272727273,0.516571428571429,49841.2515512577,169.995655510517,10332.8780874209,35.2427824163867,14.2322248861387,2.95056484506593,50011.2472067682,10368.1208698373,14.2807673348853,2.96062846083303
"of10_5","Odo_formosanus","of10","CP",3520.2,78.8,13.4358778625954,0.301915708812261,60676.769003041,184.928127924238,13567.9316075633,41.3517765236484,17.2367391065965,3.85430703015832,60861.6971309652,13609.283384087,17.2892725217218,3.86605402650048
"of10_7","Odo_formosanus","of10","CP",2833.8,765.8,8.82803738317757,2.393125,36848.5185890206,828.63975484834,9460.64216825737,212.74842265568,13.0032177955468,3.33850030639331,37677.158343869,9673.39059091305,13.295630723364,3.41357561963196
"of6_3","Odo_formosanus","of6","CP",3364.4,235.2,8.43208020050125,0.590954773869347,63327.3347767353,416.873668377438,16710.6911758558,110.003794667207,18.8227721961524,4.96691569844721,63744.2084451127,16820.694970523,18.946679480773,4.99961210632594
"of6_4","Odo_formosanus","of6","CP",2923,616.2,3.78137128072445,0.798186528497409,32458.0123009291,1026.81492420729,7619.4200197509,241.041691572103,11.1043490595036,2.60671228865922,33484.8272251364,7860.46171132301,11.455637093786,2.68917609008656
"of6_5","Odo_formosanus","of6","CP",2302.2,1182.2,1.91212624584718,0.982709891936825,21681.1196661074,1829.76442883508,5509.88022238835,465.002868547804,9.41756566158777,2.39331084284091,23510.8840949424,5974.88309093615,10.212355179803,2.59529280294334
"of6_7","Odo_formosanus","of6","CP",2718.6,879.8,3.78108484005563,1.22534818941504,41699.8121624085,1140.31356543647,9385.24887836572,256.646878151783,15.3387082183508,3.45223603265126,42840.125727845,9641.8957565175,15.7581570395957,3.54664009288512
"of6_8","Odo_formosanus","of6","CP",2267.4,1270,2.88106734434562,1.61577608142494,28413.8804569644,1226.13916496486,6603.68650140264,284.967717267033,12.5314811929807,2.91244884069976,29640.0196219293,6888.65421866967,13.0722499876199,3.03812923113243
"of7_3","Odo_formosanus","of7","CP",3355.2,193.4,6.67037773359841,0.385258964143426,58013.2100171925,389.965880400914,12274.8254013368,82.5116054254063,17.2905370819005,3.65844820020769,58403.1758975934,12357.3370067622,17.4067643948478,3.68304035728488
"of7_4","Odo_formosanus","of7","CP",3347.4,251.6,7.32472647702407,0.551754385964912,58844.6200566745,588.342117053975,14202.0890363319,141.995769913665,17.5792017854677,4.24272242227756,59432.9621737285,14344.0848062456,17.7549627094845,4.28514214203429
