"Species","Nesting","Name","Colony","mean_speed_all","sd_speed_all","mean_speed_norm_all","sd_speed_norm_all"
"Zoo_nevadensis","OP","zn447_4","zn447",10.3024407976335,4.19330597488438,0.845668528799672,0.344204539899118
"Zoo_nevadensis","OP","zn447_5","zn447",6.61551211379544,3.62992917387613,0.499646571215388,0.274155898180553
"Zoo_nevadensis","OP","zn447_7","zn447",13.05675422376,7.52265249244268,1.15076167586684,0.663011652115965
"Zoo_nevadensis","OP","zn447_8","zn447",9.8751464018368,6.42330660110542,0.766816849054456,0.498777387994388
"Zoo_nevadensis","OP","zn447_9","zn447",8.62788924322069,5.69166128749171,0.719053637288171,0.474346579518151
"Zoo_nevadensis","OP","zn448_2","zn448",6.60014184326741,4.56660047391309,0.643407603717419,0.445170049042567
"Zoo_nevadensis","OP","zn448_3","zn448",12.9160876626956,5.14376076914917,1.16965812573672,0.465809906033532
"Zoo_nevadensis","OP","zn448_4","zn448",7.9704118228943,4.48919299790042,0.684734394213352,0.385664494661951
"Zoo_nevadensis","OP","zn448_5","zn448",9.84105908713511,5.08517857218192,0.951762680697683,0.491805114351289
"Zoo_nevadensis","OP","zn448_7","zn448",8.14555572088632,3.81695281722809,0.772505463851605,0.361990882833423
"Zoo_nevadensis","OP","zna_2","zna",9.53938234085903,4.38354459822432,0.844583108933044,0.388103505303212
"Zoo_nevadensis","OP","zna_3","zna",11.3980789087507,3.75820399549382,0.960887419012913,0.316826279784886
"Zoo_nevadensis","OP","zna_4","zna",6.18829553059654,4.27386893006247,0.57552056189406,0.397476079791232
"Zoo_nevadensis","OP","zna_5","zna",8.68131791185082,5.41284225416471,0.737528615032094,0.459852535252932
"Zoo_nevadensis","OP","zna_7","zna",7.5245433508066,3.75349043459343,0.654437224359454,0.326454875352903
